id|codigo|nome|max(ects)|uo_id|ac_id
0|47764|PROPRIEDADE INTELECTUAL E DIREITOS DE AUTOR|4|0|16
0|40630|ANÁLISE MACROECONÓMICA|6|0|16
0|41954|MECÂNICA E CAMPO ELETROMAGNÉTICO|6|0|16
0|42312|PREPARAÇÃO DE DISSERTAÇÃO, PROJETO OU ESTÁGIO|12|0|16
0|47573|ESTATÍSTICA MULTIVARIADA|6|0|16
0|90048|ECONOMIA REGIONAL E LOCAL|6|0|16
0|40714|DIDÁTICA DAS CIÊNCIAS NATURAIS|6|0|16
0|41143|GEOLOGIA DE CAMPO I|6|0|16
0|41314|TEORIA FINANCEIRA|6|0|16
0|42047|ANTEPROJETO EM ENGENHARIA CIVIL|6|0|16
0|42253|ECONOMIA DA SAÚDE|6|0|16
0|90253|INSTALAÇÕES ELÉTRICAS ESPECIAIS|3|0|16
0|99936|PROJECTO TEMÁTICO EM DESENVOLVIMENTO DE APLICAÇÕES|6|0|16
0|40032|SISTEMAS DE SUPORTE DE VIDA E MANUTENÇÃO DE ORGANISMOS MARINHOS|6|0|16
0|40783|DESENVOLVIMENTO MICROESTRUTURAL I|6|0|16
0|41423|COMPLEMENTOS DE FINANÇAS EMPRESARIAIS|6|0|16
0|41708|ONDAS|6|0|16
0|42142|TEORIA DOS MÉDIA DIGITAIS|4|0|16
0|45943|BIOESTATÍSTICA E EPIDEMIOLOGIA|4|0|16
0|46474|TEORIA DAS ESTRUTURAS|6|0|16
0|18133|CONTROLO DE GESTÃO PARA PME|6|0|16
0|41558|APLICACIONAIS PARA CIENCIAS E ENGENHARIA|6|0|16
0|48034|AQUISIÇÃO E ANÁLISE DE DADOS|6|0|16
0|40632|ECONOMIA FINANCEIRA|6|0|16
0|40961|GESTÃO DA QUALIDADE EM SAÚDE OCUPACIONAL|4|0|16
0|41343|ESTUDOS AVANÇADOS EM ENGENHARIA CIVIL|12|0|16
0|41486|DISPOSITIVOS ELETRÓNICOS|6|0|16
0|99253|COMPORTAMENTO ORGANIZACIONAL|6|0|16
0|40804|LIGAÇÃO DE MATERIAIS|6|0|16
0|41387|ADMINISTRAÇÃO E POLITICAS EDUCACIONAIS II|6|0|16
0|41595|SAÚDE PÚBLICA E EPIDEMIOLOGIA|6|0|16
0|41718|ESTUDOS EM PERFORMANCE|6|0|16
0|41926|TEMAS DE LITERATURAS DE LÍNGUA PORTUGUESA|6|0|16
0|47168|MECÂNICA APLICADA|6|0|16
0|47621|HIDRÁULICA FLUVIAL|6|0|16
0|81540|MARKETING II|6|0|16
0|90314|SEMINÁRIO I|6|0|16
0|90407|LOGÍSTICA E DISTRIBUIÇÃO|6|0|16
0|40844|MODELAÇÃO E INTEGRAÇÃO DE PROCESSOS|6|0|16
0|40926|ORGANIZAÇÃO E GESTÃO DE SERVIÇOS GERONTOLÓGICOS|6|0|16
0|42157|BIOTECNOLOGIA ALIMENTAR AVANÇADA|6|0|16
0|42888|ESCOAMENTO DE FLUIDOS E SISTEMAS MULTIFÁSICOS|6|0|16
0|44139|COMPUTAÇÃO MÓVEL|6|0|16
0|44437|ALEMÃO III|6|0|16
0|85101|MICROECONOMIA|6|0|16
0|18154|GESTÃO E OTIMIZAÇÃO DE EQUIPAS|6|0|16
0|40593|RUSSO V - LÍNGUA E CULTURA|6|0|16
0|40612|A BASE MOLECULAR DA BIOMEDICINA|6|0|16
0|40661|DESENVOLVIMENTO DE NOVOS PRODUTOS ALIMENTARES|6|0|16
0|40715|MATEMÁTICA COMPLEMENTAR I|6|0|16
0|41586|TERAPIA CELULAR E MEDICINA REGENERATIVA|4|0|16
0|41615|IMUNOLOGIA MOLECULAR E IMUNOTERAPIA|6|0|16
0|41663|HISTÓRIA DO DESIGN PORTUGUÊS|4|0|16
0|43484|LITERATURA PARA A INFÂNCIA E JUVENTUDE|6|0|16
0|47206|POLÍTICAS E GESTÃO DE SEGURANÇA SOCIAL|6|0|16
0|47216|PSICOLOGIA DA ATENÇÃO E DA PERCEPÇÃO|6|0|16
0|48831|DIAGNÓSTICO FUNCIONAL AVANÇADO EM FISIOTERAPIA MUSCULOSQUELÉTICA|6|0|16
0|90129|MICROPROCESSADORES E MICROCONTROLADORES|3|0|16
0|18011|ADMINISTRAÇÃO E GESTÃO DE SISTEMAS|8|0|16
0|40557|AVALIAÇÃO PSICOLÓGICA I|6|0|16
0|40722|TEMAS AVANÇADOS DE BIOLOGIA E GEOLOGIA|6|0|16
0|41285|TÓPICOS AVANÇADOS DE FISIOTERAPIA II|6|0|16
